client_id,client_name,client_tier,preferred_sku,total_orders,gross_sales,discounts,refunds,shipping_revenue,fulfillment_costs,paid_ad_spend,net_revenue,return_rate_pct,primary_variance_driver
CLI-001,Aura Design Co,VIP,SKU-E505,38,12450.00,1420.00,180.00,480.00,820.00,1150.00,11330.00,1.45%,High LTV / Strong response to holiday promotions
CLI-002,Urban Pulse,Standard,SKU-B202,62,2790.00,180.00,585.00,365.00,385.00,890.00,2025.00,20.97%,High refund rate on SKU-B202 & worsening CAC on paid social
CLI-003,Summit Outfitters,Wholesale,SKU-A101,45,38500.00,4200.00,450.00,1650.00,2750.00,1400.00,35500.00,1.17%,Large wholesale volume expansion in Q4
CLI-004,Nova Retailers,Wholesale,SKU-C303,52,54200.00,7100.00,0.00,2100.00,3800.00,1850.00,49200.00,0.00%,Key enterprise expansion client with zero refunds
CLI-005,Lumina Living,VIP,SKU-D404,34,9800.00,1050.00,270.00,410.00,680.00,920.00,8890.00,2.76%,Steady monthly subscriber pattern with Q4 spike
CLI-006,Apex Goods,Standard,SKU-B202,58,3120.00,210.00,630.00,380.00,410.00,1020.00,2280.00,20.19%,High ad spend relative to revenue & high SKU-B202 returns
CLI-007,Beacon Direct,VIP,SKU-A101,29,8400.00,890.00,160.00,350.00,560.00,780.00,7700.00,1.90%,Consistent high-margin re-orders
CLI-008,Vanguard Supply,Wholesale,SKU-C303,48,46800.00,5850.00,750.00,1850.00,3300.00,1600.00,42050.00,1.60%,High shipping fee recovery on bulk items
CLI-009,Echo Market,Standard,SKU-B202,64,3450.00,240.00,675.00,420.00,450.00,1180.00,2955.00,19.57%,Unprofitable CAC on TikTok/Meta ads vs. low margin
CLI-010,Solstice Corp,Wholesale,SKU-C303,35,24500.00,2700.00,0.00,1050.00,1850.00,950.00,22850.00,0.00%,Consistent quarterly wholesale buyer
