transaction_id,date,client_id,client_name,client_tier,account_type,sku,units,gross_sales,discounts,refunds,shipping_revenue,fulfillment_cost,paid_ad_spend,memo
TXN-10001,2025-01-01,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,11.77,9.85,18.91,Google Shopping Ad
TXN-10002,2025-01-02,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,6,720.00,72.00,0.00,10.61,17.59,46.56,Meta Ad Campaign #12
TXN-10003,2025-01-03,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-A101,20,1600.00,320.00,0.00,67.22,36.22,58.07,TikTok Paid Ad
TXN-10004,2025-01-04,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,10.36,6.89,18.22,PPC High CAC Campaign
TXN-10005,2025-01-05,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,22,1650.00,330.00,0.00,43.67,43.03,28.02,Google Shopping Ad
TXN-10006,2025-01-06,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,39,2925.00,585.00,0.00,53.01,86.21,45.16,Organic search referral
TXN-10007,2025-01-07,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,14.90,2.78,23.04,Wholesale recurring contract
TXN-10008,2025-01-07,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,7.68,1.92,33.46,TikTok Paid Ad
TXN-10009,2025-01-08,CLI-006,Apex Goods,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.43,0.00,Defective item return - High SKU-B202 return rate
TXN-10010,2025-01-08,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,47,3525.00,528.75,0.00,71.95,91.12,59.89,Influencer Promo
TXN-10011,2025-01-09,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,10.96,2.27,24.09,TikTok Paid Ad
TXN-10012,2025-01-10,CLI-005,Lumina Living,VIP,Gross Sales,SKU-A101,7,560.00,56.00,0.00,11.82,18.02,27.01,Google Shopping Ad
TXN-10013,2025-01-11,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,14.72,9.07,21.71,Wholesale recurring contract
TXN-10014,2025-01-12,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,8.74,5.47,57.91,Email Newsletter Conversion
TXN-10015,2025-01-13,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,2,240.00,24.00,0.00,13.79,6.33,28.84,Organic search referral
TXN-10016,2025-01-13,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,2,240.00,24.00,0.00,12.32,6.26,59.01,Google Shopping Ad
TXN-10017,2025-01-14,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,45,3600.00,360.00,0.00,82.21,122.09,58.40,Wholesale recurring contract
TXN-10018,2025-01-15,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,33,2475.00,371.25,0.00,76.12,65.86,17.88,Direct Web
TXN-10019,2025-01-15,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,5.71,8.29,25.30,Meta Ad Campaign #12
TXN-10020,2025-01-16,CLI-006,Apex Goods,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.64,0.00,Defective item return - High SKU-B202 return rate
TXN-10021,2025-01-16,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,40,3000.00,450.00,0.00,47.55,112.72,30.94,Quarterly stock order
TXN-10022,2025-01-17,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-A101,2,160.00,16.00,0.00,12.28,6.20,19.92,TikTok Paid Ad
TXN-10023,2025-01-18,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,9.43,3.22,22.86,Google Shopping Ad
TXN-10024,2025-01-19,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,7.14,2.30,9.58,PPC High CAC Campaign
TXN-10025,2025-01-20,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,9.23,17.07,59.79,Wholesale recurring contract
TXN-10026,2025-01-21,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,13,975.00,195.00,0.00,44.88,27.65,17.26,Direct Web
TXN-10027,2025-01-22,CLI-009,Echo Market,Standard,Refunds,SKU-A101,1,0.00,0.00,80.00,0.00,2.21,0.00,Customer return - sizing issue
TXN-10028,2025-01-23,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-E505,25,3000.00,600.00,0.00,43.18,41.60,44.58,Influencer Promo
TXN-10029,2025-01-24,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,2.25,0.00,11.72,2.10,16.54,Email Newsletter Conversion
TXN-10030,2025-01-25,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,2.22,0.00,Defective item return - High SKU-B202 return rate
TXN-10031,2025-01-25,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,13.34,5.81,24.52,PPC High CAC Campaign
TXN-10032,2025-01-26,CLI-009,Echo Market,Standard,Refunds,SKU-C303,1,0.00,0.00,75.00,0.00,4.82,0.00,Defective item return - High SKU-B202 return rate
TXN-10033,2025-01-26,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,6,540.00,54.00,0.00,7.72,16.26,47.29,Email Newsletter Conversion
TXN-10034,2025-01-27,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,8,720.00,72.00,0.00,5.92,18.78,27.45,Meta Ad Campaign #12
TXN-10035,2025-01-28,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,38,3040.00,608.00,0.00,84.87,65.50,57.53,TikTok Paid Ad
